Speaker Name,Speaker Title,Speaker Company,Company Category,Email Subject,Email Body
Stephanie Boffey-Rawlings,Nuclear Digital Growth Lead,AtkinsRéalis,Other,Join Us at Booth #42 for a Live Demo,"Hi Stephanie,

As the Nuclear Digital Growth Lead at AtkinsRéalis, I believe you would find our drone mapping solutions highly relevant. We’d love for you to visit our booth #42 for a live demo and a small gift. Looking forward to connecting with you there.

Best regards,
[Your Name]
DroneDeploy"
Jon Saint,Strategic Customer Success Manager,Revizto,Other,Join Us for a Live Demo at Booth #42,"Hi Jon,

As the Strategic Customer Success Manager at Revizto, we know you appreciate innovative solutions. We’d love for you to visit our booth #42 for a live demo of DroneDeploy’s capabilities in drone mapping and reality capture, plus a small gift. Looking forward to connecting with you!

Best,
[Your Name]"
Pierre Monico,Founder,Sortdesk,Other,Join Us at Booth #42 for a Live Demo,"Hi Pierre,

As the Founder of Sortdesk, you understand the importance of innovative technology in streamlining operations. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy’s mapping solutions, along with a small gift for stopping by. Looking forward to connecting with you!

Best, 
[Your Name]"
Simon Thompson,Managing Director,Evercam UK,Other,Invitation to Booth #42 for a Live Demo,"Hi Simon,

I hope this message finds you well. I would like to invite you to visit us at Booth #42 for a live demo of our latest drone mapping solutions. We’d love to show you how our technology can benefit Evercam UK, and we have a small gift for you as a token of our appreciation.

Looking forward to seeing you there."
Jon Ozanne,CIO,Balfour Beatty,Other,Join Us at Booth #42 for an Exclusive Demo,"Hi Jon,

As the CIO of Balfour Beatty, your insights into technology in construction are invaluable. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy’s latest innovations in drone mapping and reality capture. We’ll have a small gift for you as well.

Looking forward to seeing you there."
Philippa Doughty,Environmental Data Analyst,Skanska Costain STRABAG JV,Other,Discover DroneDeploy at Booth #42,"Hi Philippa,

I hope this message finds you well. We’d love for you to visit us at Booth #42 for a live demo of DroneDeploy’s innovative mapping solutions tailored for construction projects. We’ll also have a small gift for you. Looking forward to seeing you there!

Best,
[Your Name]"
Davina Cooper,Asset Data Requirements Manager,Defence Infrastructure Organisation,Other,Join Us at Booth #42 for a Live Demo,"Hi Davina,

As the Asset Data Requirements Manager at Defence Infrastructure Organisation, you understand the importance of precise data for infrastructure projects. We would love to invite you to visit our booth #42 for a live demo of DroneDeploy's capabilities in drone mapping and reality capture. We also have a small gift for you as a token of our appreciation.

Looking forward to seeing you there."
Johnny Furlong,Digital Built Environment Consultant,Dalux,Other,Discover DroneDeploy at Booth #42,"Hi Johnny, 

I hope this message finds you well. As a Digital Built Environment Consultant at Dalux, you might find our innovative drone mapping solutions valuable. We’d love for you to visit our booth #42 for a live demo and a small gift. 

Looking forward to seeing you there, 

Best, 
[Your Name] 
DroneDeploy"
Pierre Saunal,Co-Founder & Architect,airc.digital,Other,Join Us for a Live Demo at Booth #42,"Hi Pierre,

As a co-founder and architect at airc.digital, your insights on drone technology must be invaluable. We’d love for you to visit us at Booth #42 for a live demo of DroneDeploy’s latest features and to pick up a small gift. It would be great to connect and share ideas.

Best regards,
[Your Name]
DroneDeploy"
Steve Rudge,UK AEC Technical & Delivery Manager,Symetri,Builder,Join Us at Booth #42 for a Live Demo,"Hi Steve,

As the UK AEC Technical & Delivery Manager at Symetri, your insights in construction technology are invaluable. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy’s capabilities. We also have a small gift for you as a token of appreciation for your time.

Looking forward to seeing you there."
Steve Johnson,Director,Hilson Moran,Other,Join Us for a Live Demo at Booth #42,"Hi Steve,

As the Director at Hilson Moran, I believe you would appreciate our innovative drone mapping solutions. We’d love for you to visit Booth #42 for a live demo and to receive a small gift as a token of our appreciation.

Looking forward to seeing you there.

Best,  
[Your Name]  
DroneDeploy"
Jonny Pye,Technical Solutions Executive,Autodesk,Other,Join Us at Booth #42 for a Live Demo,"Hi Jonny, 

As a Technical Solutions Executive at Autodesk, we believe you would find our drone mapping and reality capture solutions particularly interesting. We’d love to invite you to visit us at Booth #42 for a live demo and to pick up a small gift. 

Looking forward to connecting, 

Best, 
[Your Name]"
Diana Chirescu,"Architect, Senior Information Manager",Architype,Other,Join Us for a Live Demo at Booth #42,"Hi Diana,

As a Senior Information Manager at Architype, you understand the importance of advanced mapping solutions in architecture. We invite you to visit our booth #42 for a live demo of DroneDeploy's capabilities. We also have a small gift for you as a token of appreciation for your time.

Looking forward to seeing you there."
Joost Mink,Design Coordinator,"RED Company | Construction Company, NL",Builder,Join Us at Booth #42 for a Live Demo,"Hi Joost, 

As a Design Coordinator at RED Company, you understand the importance of precise mapping in construction. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy’s capabilities. We’ll also have a small gift for you. Looking forward to seeing you there.

Best, 
[Your Name] 
DroneDeploy"
Pierre-Louis Knowles,NVIDIA Alliance Manager,Deloitte,Other,Join Us at Booth #42 for a Live Demo,"Hi Pierre-Louis, 

As the NVIDIA Alliance Manager at Deloitte, we believe you'll find our drone mapping and reality capture solutions particularly relevant. We’d love for you to visit us at Booth #42 for a live demo and a small gift. Looking forward to connecting! 

Best, 
[Your Name] 
DroneDeploy"
Abbey Gore,Digital Lead,Laing O'Rourke,Other,Join Us for a Live Demo at Booth #42,"Hi Abbey,

As the Digital Lead at Laing O'Rourke, I believe you would find our drone mapping and reality capture solutions particularly relevant. We would love to invite you to visit us at Booth #42 for a live demo and a small gift. It would be great to show you how our technology can enhance your projects.

Best regards,
[Your Name] 
DroneDeploy"
Steve Wilson,IT Director,Henry Boot,Other,Join Us at Booth #42 for a Live Demo,"Hi Steve,

As the IT Director at Henry Boot, you understand the importance of innovative technology in construction. We’d love to invite you to visit our booth #42 for a live demo of DroneDeploy’s cutting-edge mapping solutions. We also have a small gift for you to take home. 

Looking forward to seeing you there!"
Jordan Connachie,Managing Director,Kori Construction,Builder,Join Us at Booth #42 for a Live Demo,"Hi Jordan,

I hope this message finds you well. As the Managing Director at Kori Construction, you understand the importance of precision in project execution. We’d love for you to visit our booth #42 for a live demo of DroneDeploy’s latest capabilities and to pick up a small gift. 

Looking forward to seeing you there."
